Date,Pokeball,Great Ball,Potion,Super Potion,Hyper Potion,Razz Berry,Revive
7/18/2016,3,,,,,,
7/18/2016,1,,,2,,,
7/19/2016,1,,,1,0,,1
7/19/2016,1,,,1,,,1
7/19/2016,2,,1,,,,
7/19/2016,1,1,,1,,,
7/19/2016,3,,,,,,
7/19/2016,1,2,,1,,,
7/19/2016,3,,,,,,
7/19/2016,1,1,,,1,,
7/19/2016,,,2,,,,1
7/19/2016,2,1,,,,,
7/19/2016,3,,,,,,
7/19/2016,3,,,,,,1
7/19/2016,4,,,,,,
7/19/2016,2,,1,,,,
7/19/2016,2,1,,,,,
7/19/2016,3,,,,,,
7/19/2016,2,,,,,,1
7/19/2016,1,1,1,,,,
7/19/2016,2,1,,,,,
7/19/2016,2,,,,,,1
7/19/2016,3,,,,,,
7/19/2016,4,,,,,,
7/19/2016,2,,,,,1,
7/19/2016,4,1,,,,1,
7/20/2016,2,,,,,1,
7/20/2016,4,,,,,,
7/20/2016,2,2,1,,,,
7/20/2016,2,,,,,1,
7/20/2016,1,1,,1,,,
7/20/2016,1,,,,,2,
7/20/2016,1,,,,,1,1
7/20/2016,2,,,,,,1
7/20/2016,2,,,,,1,
7/20/2016,3,,,,,,
7/20/2016,1,1,,,,,1
7/20/2016,2,,,1,,,
7/20/2016,2,,,1,,,
7/20/2016,1,2,,,,,
7/20/2016,2,,,,,1,
7/20/2016,2,1,,,,,
7/20/2016,2,,,,,1,
7/20/2016,1,,1,,,,1
7/20/2016,3,,,,,,
7/20/2016,3,,,,,,
7/20/2016,1,1,,,,1,
7/20/2016,3,,,,,,
7/20/2016,3,,1,,,,
7/20/2016,5,1,,,,1,
7/20/2016,1,1,1,,,,
7/20/2016,,1,1,,,,1
7/20/2016,3,,,,,,
7/20/2016,2,,0,1,,1,0
7/20/2016,2,1,,,,,
7/20/2016,3,,,,,,
7/20/2016,2,,,,,,1
7/20/2016,2,1,,,,,
7/20/2016,1,2,,,,,
7/20/2016,4,,,1,,1,
7/20/2016,,,2,1,,,
7/20/2016,,,,,,,
7/20/2016,2,,,,,1,
7/20/2016,2,,,1,0,,
7/20/2016,3,,,,,1,
7/20/2016,2,,,,1,,1
7/20/2016,,1,1,,,1,
7/20/2016,1,1,,,,1,
7/20/2016,2,1,,,,,
7/20/2016,2,,,,,1,
7/20/2016,4,,1,,,1,
7/20/2016,1,,,1,,,1
7/20/2016,2,,,,,1,
7/20/2016,2,,,,1,,
7/20/2016,2,,,,1,,
7/20/2016,2,1,,,,,
